dteday,weekday,workingday,casual,registered,cnt,day_type
2011-06-16,4,1,545,3222,3767,workday
2011-06-17,5,1,863,3981,4844,workday
2011-06-18,6,0,1807,3312,5119,weekend
2011-06-19,0,0,1639,3105,4744,workday
2011-06-20,1,1,699,3311,4010,workday
2011-06-21,2,1,774,4061,4835,workday
2011-06-22,3,1,661,3846,4507,workday
2011-06-23,4,1,746,4044,4790,workday
2011-06-24,5,1,969,4022,4991,workday
2011-06-25,6,0,1782,3420,5202,weekend
2011-06-26,0,0,1920,3385,5305,workday
2011-06-27,1,1,854,3854,4708,workday
2011-06-28,2,1,732,3916,4648,workday
2011-06-29,3,1,848,4377,5225,workday
2011-06-30,4,1,1027,4488,5515,workday
2011-07-01,5,1,1246,4116,5362,workday
2011-07-02,6,0,2204,2915,5119,weekend
2011-07-03,0,0,2282,2367,4649,workday
2011-07-04,1,0,3065,2978,6043,workday
2011-07-05,2,1,1031,3634,4665,workday
2011-07-06,3,1,784,3845,4629,workday
2011-07-07,4,1,754,3838,4592,workday
2011-07-08,5,1,692,3348,4040,workday
2011-07-09,6,0,1988,3348,5336,weekend
2011-07-10,0,0,1743,3138,4881,workday
2011-07-11,1,1,723,3363,4086,workday
2011-07-12,2,1,662,3596,4258,workday
2011-07-13,3,1,748,3594,4342,workday
2011-07-14,4,1,888,4196,5084,workday
2011-07-15,5,1,1318,4220,5538,workday
2011-07-16,6,0,2418,3505,5923,weekend
2011-07-17,0,0,2006,3296,5302,workday
2011-07-18,1,1,841,3617,4458,workday
2011-07-19,2,1,752,3789,4541,workday
2011-07-20,3,1,644,3688,4332,workday
2011-07-21,4,1,632,3152,3784,workday
2011-07-22,5,1,562,2825,3387,workday
2011-07-23,6,0,987,2298,3285,weekend
2011-07-24,0,0,1050,2556,3606,workday
2011-07-25,1,1,568,3272,3840,workday
2011-07-26,2,1,750,3840,4590,workday
2011-07-27,3,1,755,3901,4656,workday
2011-07-28,4,1,606,3784,4390,workday
2011-07-29,5,1,670,3176,3846,workday
2011-07-30,6,0,1559,2916,4475,weekend
2011-07-31,0,0,1524,2778,4302,workday
2011-08-01,1,1,729,3537,4266,workday
2011-08-02,2,1,801,4044,4845,workday
2011-08-03,3,1,467,3107,3574,workday
2011-08-04,4,1,799,3777,4576,workday
2011-08-05,5,1,1023,3843,4866,workday
2011-08-06,6,0,1521,2773,4294,weekend
2011-08-07,0,0,1298,2487,3785,workday
2011-08-08,1,1,846,3480,4326,workday
2011-08-09,2,1,907,3695,4602,workday
2011-08-10,3,1,884,3896,4780,workday
2011-08-11,4,1,812,3980,4792,workday
2011-08-12,5,1,1051,3854,4905,workday
2011-08-13,6,0,1504,2646,4150,weekend
2011-08-14,0,0,1338,2482,3820,workday
2011-08-15,1,1,775,3563,4338,workday
2011-08-16,2,1,721,4004,4725,workday
2011-08-17,3,1,668,4026,4694,workday
2011-08-18,4,1,639,3166,3805,workday
2011-08-19,5,1,797,3356,4153,workday
2011-08-20,6,0,1914,3277,5191,weekend
2011-08-21,0,0,1249,2624,3873,workday
2011-08-22,1,1,833,3925,4758,workday
2011-08-23,2,1,1281,4614,5895,workday
2011-08-24,3,1,949,4181,5130,workday
2011-08-25,4,1,435,3107,3542,workday
2011-08-26,5,1,768,3893,4661,workday
2011-08-27,6,0,226,889,1115,weekend
2011-08-28,0,0,1415,2919,4334,workday
2011-08-29,1,1,729,3905,4634,workday
2011-08-30,2,1,775,4429,5204,workday
2011-08-31,3,1,688,4370,5058,workday
2011-09-01,4,1,783,4332,5115,workday
2011-09-02,5,1,875,3852,4727,workday
2011-09-03,6,0,1935,2549,4484,weekend
2011-09-04,0,0,2521,2419,4940,workday
2011-09-05,1,0,1236,2115,3351,workday
2011-09-06,2,1,204,2506,2710,workday
2011-09-07,3,1,118,1878,1996,workday
2011-09-08,4,1,153,1689,1842,workday
2011-09-09,5,1,417,3127,3544,workday
2011-09-10,6,0,1750,3595,5345,weekend
2011-09-11,0,0,1633,3413,5046,workday
2011-09-12,1,1,690,4023,4713,workday
2011-09-13,2,1,701,4062,4763,workday
2011-09-14,3,1,647,4138,4785,workday
2011-09-15,4,1,428,3231,3659,workday
2011-09-16,5,1,742,4018,4760,workday
2011-09-17,6,0,1434,3077,4511,weekend
2011-09-18,0,0,1353,2921,4274,workday
2011-09-19,1,1,691,3848,4539,workday
2011-09-20,2,1,438,3203,3641,workday
2011-09-21,3,1,539,3813,4352,workday
2011-09-22,4,1,555,4240,4795,workday
2011-09-23,5,1,258,2137,2395,workday
2011-09-24,6,0,1776,3647,5423,weekend
2011-09-25,0,0,1544,3466,5010,workday
2011-09-26,1,1,684,3946,4630,workday
2011-09-27,2,1,477,3643,4120,workday
2011-09-28,3,1,480,3427,3907,workday
2011-09-29,4,1,653,4186,4839,workday
2011-09-30,5,1,830,4372,5202,workday
2011-10-01,6,0,480,1949,2429,weekend
2011-10-02,0,0,616,2302,2918,workday
2011-10-03,1,1,330,3240,3570,workday
2011-10-04,2,1,486,3970,4456,workday
2011-10-05,3,1,559,4267,4826,workday
2011-10-06,4,1,639,4126,4765,workday
2011-10-07,5,1,949,4036,4985,workday
2011-10-08,6,0,2235,3174,5409,weekend
2011-10-09,0,0,2397,3114,5511,workday
2011-10-10,1,0,1514,3603,5117,workday
2011-10-11,2,1,667,3896,4563,workday
2011-10-12,3,1,217,2199,2416,workday
2011-10-13,4,1,290,2623,2913,workday
2011-10-14,5,1,529,3115,3644,workday
2011-10-15,6,0,1899,3318,5217,weekend
2011-10-16,0,0,1748,3293,5041,workday
2011-10-17,1,1,713,3857,4570,workday
2011-10-18,2,1,637,4111,4748,workday
2011-10-19,3,1,254,2170,2424,workday
2011-10-20,4,1,471,3724,4195,workday
2011-10-21,5,1,676,3628,4304,workday
2011-10-22,6,0,1499,2809,4308,weekend
2011-10-23,0,0,1619,2762,4381,workday
2011-10-24,1,1,699,3488,4187,workday
2011-10-25,2,1,695,3992,4687,workday
2011-10-26,3,1,404,3490,3894,workday
2011-10-27,4,1,240,2419,2659,workday
2011-10-28,5,1,456,3291,3747,workday
2011-10-29,6,0,57,570,627,weekend
2011-10-30,0,0,885,2446,3331,workday
2011-10-31,1,1,362,3307,3669,workday
2011-11-01,2,1,410,3658,4068,workday
2011-11-02,3,1,370,3816,4186,workday
2011-11-03,4,1,318,3656,3974,workday
2011-11-04,5,1,470,3576,4046,workday
2011-11-05,6,0,1156,2770,3926,weekend
2011-11-06,0,0,952,2697,3649,workday
2011-11-07,1,1,373,3662,4035,workday
2011-11-08,2,1,376,3829,4205,workday
2011-11-09,3,1,305,3804,4109,workday
2011-11-10,4,1,190,2743,2933,workday
2011-11-11,5,0,440,2928,3368,workday
2011-11-12,6,0,1275,2792,4067,weekend
2011-11-13,0,0,1004,2713,3717,workday
2011-11-14,1,1,595,3891,4486,workday
2011-11-15,2,1,449,3746,4195,workday
2011-11-16,3,1,145,1672,1817,workday
2011-11-17,4,1,139,2914,3053,workday
2011-11-18,5,1,245,3147,3392,workday
2011-11-19,6,0,943,2720,3663,weekend
2011-11-20,0,0,787,2733,3520,workday
2011-11-21,1,1,220,2545,2765,workday
2011-11-22,2,1,69,1538,1607,workday
2011-11-23,3,1,112,2454,2566,workday
2011-11-24,4,0,560,935,1495,workday
2011-11-25,5,1,1095,1697,2792,workday
2011-11-26,6,0,1249,1819,3068,weekend
2011-11-27,0,0,810,2261,3071,workday
2011-11-28,1,1,253,3614,3867,workday
2011-11-29,2,1,96,2818,2914,workday
2011-11-30,3,1,188,3425,3613,workday
2011-12-01,4,1,182,3545,3727,workday
2011-12-02,5,1,268,3672,3940,workday
2011-12-03,6,0,706,2908,3614,weekend
2011-12-04,0,0,634,2851,3485,workday
2011-12-05,1,1,233,3578,3811,workday
2011-12-06,2,1,126,2468,2594,workday
2011-12-07,3,1,50,655,705,workday
2011-12-08,4,1,150,3172,3322,workday
2011-12-09,5,1,261,3359,3620,workday
2011-12-10,6,0,502,2688,3190,weekend
2011-12-11,0,0,377,2366,2743,workday
2011-12-12,1,1,143,3167,3310,workday
2011-12-13,2,1,155,3368,3523,workday
2011-12-14,3,1,178,3562,3740,workday
2011-12-15,4,1,181,3528,3709,workday
2011-12-16,5,1,178,3399,3577,workday
2011-12-17,6,0,275,2464,2739,weekend
2011-12-18,0,0,220,2211,2431,workday
2011-12-19,1,1,260,3143,3403,workday
2011-12-20,2,1,216,3534,3750,workday
2011-12-21,3,1,107,2553,2660,workday
2011-12-22,4,1,227,2841,3068,workday
2011-12-23,5,1,163,2046,2209,workday
2011-12-24,6,0,155,856,1011,weekend
2011-12-25,0,0,303,451,754,workday
2011-12-26,1,0,430,887,1317,workday
2011-12-27,2,1,103,1059,1162,workday
2011-12-28,3,1,255,2047,2302,workday
2011-12-29,4,1,254,2169,2423,workday
2011-12-30,5,1,491,2508,2999,workday
2011-12-31,6,0,665,1820,2485,weekend
2012-01-01,0,0,686,1608,2294,workday
2012-01-02,1,0,244,1707,1951,workday
2012-01-03,2,1,89,2147,2236,workday
2012-01-04,3,1,95,2273,2368,workday
2012-01-05,4,1,140,3132,3272,workday
2012-01-06,5,1,307,3791,4098,workday
2012-01-07,6,0,1070,3451,4521,weekend
2012-01-08,0,0,599,2826,3425,workday
2012-01-09,1,1,106,2270,2376,workday
2012-01-10,2,1,173,3425,3598,workday
2012-01-11,3,1,92,2085,2177,workday
2012-01-12,4,1,269,3828,4097,workday
2012-01-13,5,1,174,3040,3214,workday
2012-01-14,6,0,333,2160,2493,weekend
2012-01-15,0,0,284,2027,2311,workday
2012-01-16,1,0,217,2081,2298,workday
2012-01-17,2,1,127,2808,2935,workday
2012-01-18,3,1,109,3267,3376,workday
2012-01-19,4,1,130,3162,3292,workday
2012-01-20,5,1,115,3048,3163,workday
2012-01-21,6,0,67,1234,1301,weekend
2012-01-22,0,0,196,1781,1977,workday
2012-01-23,1,1,145,2287,2432,workday
2012-01-24,2,1,439,3900,4339,workday
2012-01-25,3,1,467,3803,4270,workday
2012-01-26,4,1,244,3831,4075,workday
2012-01-27,5,1,269,3187,3456,workday
2012-01-28,6,0,775,3248,4023,weekend
2012-01-29,0,0,558,2685,3243,workday
2012-01-30,1,1,126,3498,3624,workday
2012-01-31,2,1,324,4185,4509,workday
2012-02-01,3,1,304,4275,4579,workday
2012-02-02,4,1,190,3571,3761,workday
2012-02-03,5,1,310,3841,4151,workday
2012-02-04,6,0,384,2448,2832,weekend
2012-02-05,0,0,318,2629,2947,workday
2012-02-06,1,1,206,3578,3784,workday
2012-02-07,2,1,199,4176,4375,workday
2012-02-08,3,1,109,2693,2802,workday
2012-02-09,4,1,163,3667,3830,workday
2012-02-10,5,1,227,3604,3831,workday
2012-02-11,6,0,192,1977,2169,weekend
2012-02-12,0,0,73,1456,1529,workday
2012-02-13,1,1,94,3328,3422,workday
2012-02-14,2,1,135,3787,3922,workday
2012-02-15,3,1,141,4028,4169,workday
2012-02-16,4,1,74,2931,3005,workday
2012-02-17,5,1,349,3805,4154,workday
2012-02-18,6,0,1435,2883,4318,weekend
2012-02-19,0,0,618,2071,2689,workday
2012-02-20,1,0,502,2627,3129,workday
2012-02-21,2,1,163,3614,3777,workday
2012-02-22,3,1,394,4379,4773,workday
2012-02-23,4,1,516,4546,5062,workday
2012-02-24,5,1,246,3241,3487,workday
2012-02-25,6,0,317,2415,2732,weekend
2012-02-26,0,0,515,2874,3389,workday
2012-02-27,1,1,253,4069,4322,workday
2012-02-28,2,1,229,4134,4363,workday
2012-02-29,3,1,65,1769,1834,workday
2012-03-01,4,1,325,4665,4990,workday
2012-03-02,5,1,246,2948,3194,workday
2012-03-03,6,0,956,3110,4066,weekend
2012-03-04,0,0,710,2713,3423,workday
2012-03-05,1,1,203,3130,3333,workday
2012-03-06,2,1,221,3735,3956,workday
2012-03-07,3,1,432,4484,4916,workday
2012-03-08,4,1,486,4896,5382,workday
2012-03-09,5,1,447,4122,4569,workday
2012-03-10,6,0,968,3150,4118,weekend
2012-03-11,0,0,1658,3253,4911,workday
2012-03-12,1,1,838,4460,5298,workday
2012-03-13,2,1,762,5085,5847,workday
2012-03-14,3,1,997,5315,6312,workday
2012-03-15,4,1,1005,5187,6192,workday
2012-03-16,5,1,548,3830,4378,workday
2012-03-17,6,0,3155,4681,7836,weekend
2012-03-18,0,0,2207,3685,5892,workday
2012-03-19,1,1,982,5171,6153,workday
2012-03-20,2,1,1051,5042,6093,workday
2012-03-21,3,1,1122,5108,6230,workday
2012-03-22,4,1,1334,5537,6871,workday
2012-03-23,5,1,2469,5893,8362,workday
2012-03-24,6,0,1033,2339,3372,weekend
2012-03-25,0,0,1532,3464,4996,workday
2012-03-26,1,1,795,4763,5558,workday
2012-03-27,2,1,531,4571,5102,workday
2012-03-28,3,1,674,5024,5698,workday
2012-03-29,4,1,834,5299,6133,workday
2012-03-30,5,1,796,4663,5459,workday
2012-03-31,6,0,2301,3934,6235,weekend
2012-04-01,0,0,2347,3694,6041,workday
2012-04-02,1,1,1208,4728,5936,workday
2012-04-03,2,1,1348,5424,6772,workday
2012-04-04,3,1,1058,5378,6436,workday
2012-04-05,4,1,1192,5265,6457,workday
2012-04-06,5,1,1807,4653,6460,workday
2012-04-07,6,0,3252,3605,6857,weekend
2012-04-08,0,0,2230,2939,5169,workday
2012-04-09,1,1,905,4680,5585,workday
2012-04-10,2,1,819,5099,5918,workday
2012-04-11,3,1,482,4380,4862,workday
2012-04-12,4,1,663,4746,5409,workday
2012-04-13,5,1,1252,5146,6398,workday
2012-04-14,6,0,2795,4665,7460,weekend
2012-04-15,0,0,2846,4286,7132,workday
2012-04-16,1,0,1198,5172,6370,workday
2012-04-17,2,1,989,5702,6691,workday
2012-04-18,3,1,347,4020,4367,workday
2012-04-19,4,1,846,5719,6565,workday
2012-04-20,5,1,1340,5950,7290,workday
2012-04-21,6,0,2541,4083,6624,weekend
2012-04-22,0,0,120,907,1027,workday
2012-04-23,1,1,195,3019,3214,workday
2012-04-24,2,1,518,5115,5633,workday
2012-04-25,3,1,655,5541,6196,workday
2012-04-26,4,1,475,4551,5026,workday
2012-04-27,5,1,1014,5219,6233,workday
2012-04-28,6,0,1120,3100,4220,weekend
2012-04-29,0,0,2229,4075,6304,workday
2012-04-30,1,1,665,4907,5572,workday
2012-05-01,2,1,653,5087,5740,workday
2012-05-02,3,1,667,5502,6169,workday
2012-05-03,4,1,764,5657,6421,workday
2012-05-04,5,1,1069,5227,6296,workday
2012-05-05,6,0,2496,4387,6883,weekend
2012-05-06,0,0,2135,4224,6359,workday
2012-05-07,1,1,1008,5265,6273,workday
2012-05-08,2,1,738,4990,5728,workday
2012-05-09,3,1,620,4097,4717,workday
2012-05-10,4,1,1026,5546,6572,workday
2012-05-11,5,1,1319,5711,7030,workday
2012-05-12,6,0,2622,4807,7429,weekend
2012-05-13,0,0,2172,3946,6118,workday
2012-05-14,1,1,342,2501,2843,workday
2012-05-15,2,1,625,4490,5115,workday
2012-05-16,3,1,991,6433,7424,workday
2012-05-17,4,1,1242,6142,7384,workday
2012-05-18,5,1,1521,6118,7639,workday
2012-05-19,6,0,3410,4884,8294,weekend
2012-05-20,0,0,2704,4425,7129,workday
2012-05-21,1,1,630,3729,4359,workday
2012-05-22,2,1,819,5254,6073,workday
2012-05-23,3,1,766,4494,5260,workday
2012-05-24,4,1,1059,5711,6770,workday
2012-05-25,5,1,1417,5317,6734,workday
2012-05-26,6,0,2855,3681,6536,weekend
2012-05-27,0,0,3283,3308,6591,workday
2012-05-28,1,0,2557,3486,6043,workday
2012-05-29,2,1,880,4863,5743,workday
2012-05-30,3,1,745,6110,6855,workday
2012-05-31,4,1,1100,6238,7338,workday
2012-06-01,5,1,533,3594,4127,workday
2012-06-02,6,0,2795,5325,8120,weekend
2012-06-03,0,0,2494,5147,7641,workday
2012-06-04,1,1,1071,5927,6998,workday
2012-06-05,2,1,968,6033,7001,workday
2012-06-06,3,1,1027,6028,7055,workday
2012-06-07,4,1,1038,6456,7494,workday
2012-06-08,5,1,1488,6248,7736,workday
2012-06-09,6,0,2708,4790,7498,weekend
2012-06-10,0,0,2224,4374,6598,workday
2012-06-11,1,1,1017,5647,6664,workday
2012-06-12,2,1,477,4495,4972,workday
2012-06-13,3,1,1173,6248,7421,workday
2012-06-14,4,1,1180,6183,7363,workday
2012-06-15,5,1,1563,6102,7665,workday
2012-06-16,6,0,2963,4739,7702,weekend
2012-06-17,0,0,2634,4344,6978,workday
2012-06-18,1,1,653,4446,5099,workday
2012-06-19,2,1,968,5857,6825,workday
2012-06-20,3,1,872,5339,6211,workday
2012-06-21,4,1,778,5127,5905,workday
2012-06-22,5,1,964,4859,5823,workday
2012-06-23,6,0,2657,4801,7458,weekend
2012-06-24,0,0,2551,4340,6891,workday
2012-06-25,1,1,1139,5640,6779,workday
2012-06-26,2,1,1077,6365,7442,workday
2012-06-27,3,1,1077,6258,7335,workday
2012-06-28,4,1,921,5958,6879,workday
2012-06-29,5,1,829,4634,5463,workday
2012-06-30,6,0,1455,4232,5687,weekend
2012-07-01,0,0,1421,4110,5531,workday
2012-07-02,1,1,904,5323,6227,workday
2012-07-03,2,1,1052,5608,6660,workday
2012-07-04,3,0,2562,4841,7403,workday
2012-07-05,4,1,1405,4836,6241,workday
2012-07-06,5,1,1366,4841,6207,workday
2012-07-07,6,0,1448,3392,4840,weekend
2012-07-08,0,0,1203,3469,4672,workday
2012-07-09,1,1,998,5571,6569,workday
2012-07-10,2,1,954,5336,6290,workday
2012-07-11,3,1,975,6289,7264,workday
2012-07-12,4,1,1032,6414,7446,workday
2012-07-13,5,1,1511,5988,7499,workday
2012-07-14,6,0,2355,4614,6969,weekend
2012-07-15,0,0,1920,4111,6031,workday
2012-07-16,1,1,1088,5742,6830,workday
2012-07-17,2,1,921,5865,6786,workday
2012-07-18,3,1,799,4914,5713,workday
2012-07-19,4,1,888,5703,6591,workday
2012-07-20,5,1,747,5123,5870,workday
2012-07-21,6,0,1264,3195,4459,weekend
2012-07-22,0,0,2544,4866,7410,workday
2012-07-23,1,1,1135,5831,6966,workday
2012-07-24,2,1,1140,6452,7592,workday
2012-07-25,3,1,1383,6790,8173,workday
2012-07-26,4,1,1036,5825,6861,workday
2012-07-27,5,1,1259,5645,6904,workday
2012-07-28,6,0,2234,4451,6685,weekend
2012-07-29,0,0,2153,4444,6597,workday
2012-07-30,1,1,1040,6065,7105,workday
2012-07-31,2,1,968,6248,7216,workday
2012-08-01,3,1,1074,6506,7580,workday
2012-08-02,4,1,983,6278,7261,workday
2012-08-03,5,1,1328,5847,7175,workday
2012-08-04,6,0,2345,4479,6824,weekend
2012-08-05,0,0,1707,3757,5464,workday
2012-08-06,1,1,1233,5780,7013,workday
2012-08-07,2,1,1278,5995,7273,workday
2012-08-08,3,1,1263,6271,7534,workday
2012-08-09,4,1,1196,6090,7286,workday
2012-08-10,5,1,1065,4721,5786,workday
2012-08-11,6,0,2247,4052,6299,weekend
2012-08-12,0,0,2182,4362,6544,workday
2012-08-13,1,1,1207,5676,6883,workday
2012-08-14,2,1,1128,5656,6784,workday
2012-08-15,3,1,1198,6149,7347,workday
2012-08-16,4,1,1338,6267,7605,workday
2012-08-17,5,1,1483,5665,7148,workday
2012-08-18,6,0,2827,5038,7865,weekend
2012-08-19,0,0,1208,3341,4549,workday
2012-08-20,1,1,1026,5504,6530,workday
2012-08-21,2,1,1081,5925,7006,workday
2012-08-22,3,1,1094,6281,7375,workday
2012-08-23,4,1,1363,6402,7765,workday
2012-08-24,5,1,1325,6257,7582,workday
2012-08-25,6,0,1829,4224,6053,weekend
2012-08-26,0,0,1483,3772,5255,workday
2012-08-27,1,1,989,5928,6917,workday
2012-08-28,2,1,935,6105,7040,workday
2012-08-29,3,1,1177,6520,7697,workday
2012-08-30,4,1,1172,6541,7713,workday
2012-08-31,5,1,1433,5917,7350,workday
2012-09-01,6,0,2352,3788,6140,weekend
2012-09-02,0,0,2613,3197,5810,workday
2012-09-03,1,0,1965,4069,6034,workday
2012-09-04,2,1,867,5997,6864,workday
2012-09-05,3,1,832,6280,7112,workday
2012-09-06,4,1,611,5592,6203,workday
2012-09-07,5,1,1045,6459,7504,workday
2012-09-08,6,0,1557,4419,5976,weekend
2012-09-09,0,0,2570,5657,8227,workday
2012-09-10,1,1,1118,6407,7525,workday
2012-09-11,2,1,1070,6697,7767,workday
2012-09-12,3,1,1050,6820,7870,workday
2012-09-13,4,1,1054,6750,7804,workday
